id,label_1,confidence_1,label_2,confidence_2,label_match,confidence_match
146,human,medium,ai,medium,False,True
147,ai,medium,ai,medium,True,True
148,human,high,human,medium,True,False
149,human,medium,human,low,True,False
150,ai,high,ai,high,True,True
151,human,low,ai,medium,False,False
152,human,high,human,low,True,False
153,human,high,human,low,True,False
154,human,high,human,medium,True,False
155,human,high,human,high,True,True
156,ai,high,human,low,False,False
157,ai,medium,ai,high,True,False
158,human,high,human,high,True,True
159,human,high,ai,low,False,False
160,ai,low,ai,medium,True,False
161,ai,medium,ai,medium,True,True
162,ai,low,ai,low,True,True
163,ai,high,ai,medium,True,False
164,human,high,human,high,True,True
165,human,medium,human,high,True,False
166,ai,medium,ai,medium,True,True
167,human,high,human,medium,True,False
168,ai,medium,ai,medium,True,True
169,human,low,human,low,True,True
170,human,high,human,medium,True,False
171,human,high,human,medium,True,False
172,ai,low,ai,low,True,True
173,human,low,ai,low,False,True
174,ai,high,ai,low,True,False
175,ai,medium,ai,medium,True,True
176,ai,high,ai,high,True,True
177,human,high,human,medium,True,False
178,ai,high,ai,high,True,True
179,ai,high,ai,high,True,True
180,human,high,human,medium,True,False
181,human,medium,human,medium,True,True
182,ai,high,ai,medium,True,False
183,ai,high,ai,medium,True,False
184,human,high,human,low,True,False
185,ai,medium,ai,medium,True,True
186,human,high,human,low,True,False
187,ai,high,ai,high,True,True
188,human,medium,human,high,True,False
189,human,high,human,medium,True,False
190,human,low,ai,high,False,False
191,ai,high,ai,high,True,True
192,human,high,ai,medium,False,False
193,ai,high,ai,high,True,True
194,human,high,human,high,True,True
195,ai,high,ai,high,True,True
196,human,high,human,medium,True,False
197,human,high,human,high,True,True
198,ai,high,ai,high,True,True
199,ai,high,ai,medium,True,False
